W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,close,change
11.086,0,34.914,31.7768,32.80664492,25.3,36.8,37907,1
102.378,0,8244.622,334.8642,7675.868493,204.6272727,546.4909091,38333.77,1
65.792,0,9898.208,139.1104,9285.609463,2272.228571,4229.495238,38153.19,0
0,36.036,359.964,-108.1872,236.6393259,0,184.8,38000,0
1589.416,222.303,12193.281,4070.3968,10751.199,1862.410606,3887.974242,37846.82,0
21.756,0,6430.244,17.1384,6117.473945,0,6230,37936.26,1
433.332,0,1220.668,1178.3859,1461.314355,22.5,8.75,37423.85,0
1.887,0,15.113,4.25,15.70194709,0,0,37656.08,1
0,0,4357,0,4040.351434,0,0,37773.32,1
0,0,306,0,277.8617259,-17.7,35.4,37861.99,1
0,0,0,0,0,0,0,37837.41,0
0.972,0,3930.028,2.6424,3547.048221,4.2,3.85,38320,1
0,148.824,1255.176,-108.3888,1091.570464,-351,702,38758.56,1
0.906,33.276,207.818,-88.7226,222.9057021,1.8,4.8,38871.15,1
0,0,4154,0,3885.768999,0,0,39411.78,1
0.453,0,1951.547,1.4817,1781.8521,0.9,2.4,39396.4,0
1892.672,2.52,5866.808,5177.5252,7318.35165,11.2,25.2,39205.4,0
0,0,61,0,57.51499856,0,21.78571429,39028.58,0
252.357,252.357,782.005,0,1142.392324,-0.758333333,1.4,39306.17,1
0,0,0,0,0,0,0,39402.96,1
55.275,20.874,18082.064,132.0756,16797.13964,66.02619048,360.7297619,39466.73,1
0.609,11.07,245.321,-23.1719,235.941764,36.56818182,147.25,39929.15,1
0,0,2332,0,2179.511566,0,0,40051.98,1
0,0,144,0,127.2347603,0,0,40244.36,1
0,0,18,0,16.51370323,0,0,39968.22,0
681.152,55.378,2302.237,1681.6323,2653.007191,722.0541667,1399.141667,40180.67,1
471.709,224.27,2274.021,272.5479,2262.039154,101.075,696.6763889,40328.99,1
642.057,743.769,5843.174,-490.7604,6537.995007,3178.5,4050.5,40938.98,1
0.453,1.245,6126.302,-1.7613,5492.104408,78.21,323.0066667,40651.49,0
3.509,118.68,1626.811,-163.8724,1621.002835,0,0,40267.82,0
1608.912,0,2864.088,3285.7914,2695.882613,1690.127778,3040.894444,40341.59,1
0.57,0,2.43,1.3764,2.807818651,0,0.75,40209.09,0
1759.398,0,9018.602,4427.1944,10063.51095,831.8666667,623.9,40158.2,0
252.357,252.357,1333.005,0,1658.421588,334.8,558,40106.72,0
16.562,7.154,9506.284,35.6181,6734.619551,19.39,496.79,40050,0
0,0,5074,0,4139.931913,-621.5814815,1346.837037,39282.1,0
832.908,0.74,3061.352,2325.4839,2934.176648,1331.033333,2785.733333,39613.87,1
31.835,0,129.165,50.3855,148.3451767,8.7,23.2,38681.44,0
0,0,530,0,502.5945163,0,0,38808.89,1
1622.272,172.592,8135.26,4167.1647,9271.61912,1550.172727,4166.709091,38878.21,1
0,0,0,0,0,0,0,38361.94,0
6.776,13.288,326.936,-40.3744,286.2419879,-44,72.83333333,38558.77,1
15.232,169.893,640.875,-319.6016,707.1214141,75.9,232.575,38577.23,1
252.357,252.357,775.005,0,1135.800057,0,0,39082.74,1
1.812,0,1553.188,5.9268,1145.932235,338.4,666.1,39525.59,1
8274.299,286.801,14881.619,11615.6599,21454.64986,-53.35,73.05,39551.5,1
32.76,0,695.24,56.0742,645.9848502,0,546,39398.36,0
0,0,279,0,263.386445,167.4,279,39103.41,0
83.05,0,466.95,271.645,451.216656,165,440,38856.29,0
71.959,0,245.041,198.0933,293.3987781,253.6,237.75,38690.76,0
427.665,762.251,21396.803,-403.1348,19101.26062,81.825,2156.758333,38307.21,0
5.139,410.764,36440.097,-1185.297,34509.93771,1608.766667,12792.90833,37989.12,0
0,650.31,1803.69,-1859.8866,1674.871686,-1963.2,2208.6,38230.88,1
48.896,0,207.104,130.7136,233.9087677,102.4,204.8,37917.46,0
0,0,3510,0,2288.498905,0,0,38319.25,1
10.08,0,29.92,22.876,31.31101131,12,0,38113.81,0
302.377,0,12532.623,382.6804,10858.80485,3872.5,3872.5,38538.1,1
1.788,0,10.212,3.2784,11.01358581,0,0,38595.84,1
