ID,TEXT,MATCHING_RULES
1,"@crypstax 💎 For the real DEFI degens - here our favorite @decommas is starting a testnet of a next tool, I advise not to miss it - 
 - https://t.co/Dlw9QzB5FN. DeFinitely going to be something extraordinary 💎",ethereum OR eth
2,@mehmet33104378 @umtcgr,ethereum OR eth
3,"RT @AirdropStario: 💧 Space Launcher Airdrop 💧

🏆 Task:          ➕ 9,2 SPLR for 20,000 random participants

👨‍👩‍👧 Referral:   ➕ 80 SPLR for…",bitcoin OR btc
4,@w_s_bitcoin So what you’re saying is sell everything now and buy back at $10? :P,bitcoin OR btc
5,"RT @manuferraritano: 🔥HOY REVOLUCION BITCOIN 🔥

Estaremos conversando con @juanencripto  sobre el primer documental de calidad cinematográf…",bitcoin OR btc
6,"EL Salvador started using bitcoin. Arizona trying to pass bills to use bitcoin. Ukraine just legalized bitcoin. Other US states trying to get on with bitcoin. Staples arena is now CRYPTO ARENA. Bitcoin is.........down https://t.co/FfxlpRwkJD February 17, 2022 at 08:42PM #Crypto…",bitcoin OR btc
7,RT @shi_play: #bitcoin #bsc #shiplay #ama #new #token #Metaverse #3D #Cryptos #CryptoNews #cryptocurrencies #cryptocurrency #P2E #P2Egaming…,bitcoin OR btc
8,"@cz_binance @JesusCrypto33 🍀LUCKY SHINU🍀
@lucky_shinu is a #raffle token on #ERC20 that brings you the chance to win awesome #prizes every week!

Are you the next #LuckyShinu ?

https://t.co/85t6LWVUtz

#ETH #altcoin #altcoinseason #x100gems #Crypto #Cryptocurrency $LUSHI #LUSHI #LUSHIARMY #LUCKYSHINU",bitcoin OR btc
9,"@ewaldeng Ik neem aan dat je decentraal geld voorstelt, #bitcoin",bitcoin OR btc
10,Congratulations to @stotteyman you won the giveaway! Shoot me a DM to claim your prize 🤙🏽😄 https://t.co/m498bvgRMO,ethereum OR eth
11,"RT @BitcoinMagazine: 💥 Minister of Finance of the Russian Federation: #Bitcoin is a ""real tool, a real asset for millions."" 🙌 https://t.co/…",bitcoin OR btc
12,"RT @disclosetv: JUST IN - FBI to form national cryptocurrency unit, focusing on the seizure of virtual assets like #Bitcoin and blockchain…",bitcoin OR btc
13,@healthy_pockets Seguramente seas mejor inversor que él,ethereum OR eth
14,RT @Kriptozenciii: 40 k altında kapanış yapmadığımız sürece isyan yada psikolojik olarak kafamı yormayacağım. Unutmayın 20 gün önce 32 k fi…,bitcoin OR btc
15,RT @Ali1989sirik5: @spy_wolf2020 @CoinMarketCap @SpyWolfNetwork We are @SpyWolfNetwork and we are here to clean up the crypto space and to…,bitcoin OR btc
16,"@AirdropStario @shibafame @YoussefEssaid12 @elonmusk 
#Shibafame",bitcoin OR btc
17,"Very Nice and sincere project  with great potential. I think i could be  a leader in the cryptocurrencies 'family

@DjedidKadour
@freema77n
@Mounir213 

#Shibafame https://t.co/TQcfpzWv7A",bitcoin OR btc
18,Justiça decidiu em três casos que a B Fintech responde pela Binance no Brasil https://t.co/nrxJz7pZuP,bitcoin OR btc
19,"@maxkeiser is the goat

#Bitcoin https://t.co/r8QoNSCpZ1",bitcoin OR btc
20,"RT @frhad16130305: @Crypto_Familyy @binance Why buy #bluesparrow token?
1:#draw
2:#cex
3;#web3
4:#kyc
5:#renounce
6:#charity
7:#nft  
😍😍😍😍😍…",bitcoin OR btc
